case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
18,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,8.625704636743118e-25,0.000000000000000e+00
19,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,9.195355686936021e-25,0.000000000000000e+00
20,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.003118926570850e-24,0.000000000000000e+00
21,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.920004879956281e-24,0.000000000000000e+00
22,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.170634433516869e-24,0.000000000000000e+00
23,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.352039940954831e-24,0.000000000000000e+00
24,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,2.920745810965579e-24,0.000000000000000e+00
25,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,1.560173801936123e-24,0.000000000000000e+00
26,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.483821530310332e-24,0.000000000000000e+00
27,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.384239421320460e-24,0.000000000000000e+00
28,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.416473319864135e-23,0.000000000000000e+00
29,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.517913368315457e-23,0.000000000000000e+00
30,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.352144524685046e-23,0.000000000000000e+00
31,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.892925071258400e-23,0.000000000000000e+00
32,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.558802558698482e-23,0.000000000000000e+00
33,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.418597061624009e-23,0.000000000000000e+00
34,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.967481961182539e-23,0.000000000000000e+00
35,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.582593624137497e-24,0.000000000000000e+00
36,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.016735605323788e-23,0.000000000000000e+00
37,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.347768522360143e-23,0.000000000000000e+00
38,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.693077347650113e-23,0.000000000000000e+00
39,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.916654229002480e-24,0.000000000000000e+00
40,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.945527134529054e-23,0.000000000000000e+00
41,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.797504321255384e-23,0.000000000000000e+00
42,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,1.641882471813227e-23,0.000000000000000e+00
43,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,4.989745872957653e-23,0.000000000000000e+00
44,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.351852418550790e-23,0.000000000000000e+00
45,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.630181945081775e-23,0.000000000000000e+00
46,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,7.900074684911599e-23,0.000000000000000e+00
47,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,7.296049096683207e-23,0.000000000000000e+00
48,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.938255365431828e-23,0.000000000000000e+00
49,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.242502170863226e-23,0.000000000000000e+00
50,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.213035978722745e-23,0.000000000000000e+00
51,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.842371653334166e-23,0.000000000000000e+00
52,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.950987440664099e-23,0.000000000000000e+00
53,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,9.552863325360628e-23,0.000000000000000e+00
54,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,4.382302752761700e-23,0.000000000000000e+00
55,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,6.082780988908023e-23,0.000000000000000e+00
