case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
39747,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.340314999155672e-07,4.667430315782686e-10
39748,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.233405265648155e-07,4.667430315782686e-10
39749,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.227326504877226e-07,4.667430315782686e-10
39750,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.132801684626148e-07,4.667430315782686e-10
39751,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.124490688579950e-07,4.667430315782686e-10
39752,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.135438757102290e-07,4.667430315782686e-10
39753,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.103500694583714e-07,4.667430315782686e-10
39754,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.160385886765718e-07,4.667430315782686e-10
39755,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.074271626155146e-07,4.667430315782686e-10
39756,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.080107993206884e-07,4.667430315782686e-10
39757,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.011839395485848e-07,4.667430315782686e-10
39758,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.068549484163024e-07,4.667430315782686e-10
39759,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.075010093975509e-07,4.667430315782686e-10
39760,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.008622312564755e-07,4.667430315782686e-10
39761,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.797280876032442e-07,4.667430315782686e-10
39762,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.689896855681399e-07,4.667430315782686e-10
39763,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.571620184946490e-07,4.667430315782686e-10
39764,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.466942609711317e-07,4.667430315782686e-10
39765,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.410839558842901e-07,4.667430315782686e-10
39766,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.351370976111116e-07,4.667430315782686e-10
39767,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.473793345975445e-07,4.667430315782686e-10
39768,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.539857160239686e-07,4.667430315782686e-10
39769,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.225212624498777e-07,4.667430315782686e-10
39770,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.220446975664077e-07,4.667430315782686e-10
39771,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.197710123833432e-07,4.667430315782686e-10
39772,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.164847369670437e-07,4.667430315782686e-10
39773,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.123667557006588e-07,4.667430315782686e-10
39774,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,9.762508044511273e-08,4.667430315782686e-10
39775,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,9.333560657721256e-08,4.667430315782686e-10
39776,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,9.718349400539272e-08,4.667430315782686e-10
39777,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.872594495243494e-08,4.667430315782686e-10
39778,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.152391446757329e-08,4.667430315782686e-10
39779,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.231653214547590e-08,4.667430315782686e-10
39780,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.910684043517584e-08,4.667430315782686e-10
39781,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.890835429911969e-08,4.667430315782686e-10
39782,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.948329380721909e-08,4.667430315782686e-10
39783,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,6.838832764712209e-08,4.667430315782686e-10
39784,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,6.208053994624455e-08,4.667430315782686e-10
39785,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.393175151375793e-08,4.667430315782686e-10
39786,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.148823444776146e-08,4.667430315782686e-10
39787,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.143036158816144e-08,4.667430315782686e-10
39788,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.835747849834596e-08,4.667430315782686e-10
39789,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.516653886835936e-08,4.667430315782686e-10
39790,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.617852860355673e-08,4.667430315782686e-10
39791,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.868375572801281e-08,4.667430315782686e-10
39792,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.680726658334325e-08,4.667430315782686e-10
39793,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.729576130357433e-08,4.667430315782686e-10
39794,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.079126015490204e-08,4.667430315782686e-10
39795,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.725888693148427e-09,4.667430315782686e-10
39796,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.028431198589180e-08,4.667430315782686e-10
39797,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,9.354571168786926e-09,4.667430315782686e-10
39798,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.129799066772279e-09,4.667430315782686e-10
39799,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,1.828841533145062e-06,6.201859962817987e-09,4.667430315782686e-10
39800,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.889182749828078e-09,4.667430315782686e-10
39801,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.994877976080174e-09,4.667430315782686e-10
39802,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,6.810995456726031e-09,4.667430315782686e-10
39803,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,1.828841533145062e-06,6.652889708382626e-09,4.667430315782686e-10
39804,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.449853740039855e-09,4.667430315782686e-10
39805,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,6.597934630642522e-09,4.667430315782686e-10
39806,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.649626148759026e-09,4.667430315782686e-10
39807,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.165774175537463e-09,4.667430315782686e-10
39808,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.965635982979297e-09,4.667430315782686e-10
39809,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.406753245107846e-09,4.667430315782686e-10
39810,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.077104158258631e-09,4.667430315782686e-10
39811,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.211827376799543e-09,4.667430315782686e-10
39812,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.260004534456695e-09,4.667430315782686e-10
39813,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.885176806960053e-09,4.667430315782686e-10
39814,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.549998226113249e-09,4.667430315782686e-10
39815,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.679473822114704e-09,4.667430315782686e-10
39816,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.577631686265463e-09,4.667430315782686e-10
39817,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.816543940958891e-09,4.667430315782686e-10
39818,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.880228713227940e-09,4.667430315782686e-10
39819,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.946246767622705e-09,4.667430315782686e-10
39820,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.017035742263940e-09,4.667430315782686e-10
39821,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.600002467006928e-10,4.667430315782686e-10
39822,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.996578769781212e-10,4.667430315782686e-10
39823,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.557925150783290e-10,4.667430315782686e-10
39824,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.580301919677529e-10,4.667430315782686e-10
39825,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.840572020445486e-10,4.667430315782686e-10
39826,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.610550852625014e-10,4.667430315782686e-10
39827,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.675077290440370e-11,4.667430315782686e-10
39828,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.687616664400383e-11,4.667430315782686e-10
39829,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.068427762723742e-10,4.667430315782686e-10
39830,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.322928444241597e-10,4.667430315782686e-10
39831,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.236046861275120e-10,4.667430315782686e-10
39832,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.886891508404337e-11,4.667430315782686e-10
39833,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.628006022938491e-11,4.667430315782686e-10
39834,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.646573139556777e-10,4.667430315782686e-10
39835,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.118004915556463e-10,4.667430315782686e-10
39836,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.836502503054531e-10,4.667430315782686e-10
39837,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.749251036545730e-10,4.667430315782686e-10
39838,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.284396176307526e-10,4.667430315782686e-10
39839,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.772064239189403e-10,4.667430315782686e-10
39840,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.896657331005576e-10,4.667430315782686e-10
39841,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.002359147543434e-10,4.667430315782686e-10
39842,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,6.966406615753067e-10,4.667430315782686e-10
39843,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.951309459780731e-10,4.667430315782686e-10
39844,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.368403733598013e-10,4.667430315782686e-10
39845,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.610477931092283e-10,4.667430315782686e-10
39846,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.027144577472002e-09,4.667430315782686e-10
39847,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.171797475545822e-09,4.667430315782686e-10
39848,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.031553280082846e-09,4.667430315782686e-10
39849,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,9.833931743518637e-10,4.667430315782686e-10
39850,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.381341644047030e-09,4.667430315782686e-10
39851,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.625091131141071e-09,4.667430315782686e-10
39852,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.972038563965724e-09,4.667430315782686e-10
39853,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.139506708555203e-09,4.667430315782686e-10
39854,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.512209675970904e-09,4.667430315782686e-10
39855,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.575257818588796e-09,4.667430315782686e-10
39856,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,4.476825446445585e-09,4.667430315782686e-10
39857,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.337672286606480e-09,4.667430315782686e-10
39858,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,5.261406926790522e-09,4.667430315782686e-10
39859,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,7.458073117639878e-09,4.667430315782686e-10
39860,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.095211091860179e-08,4.667430315782686e-10
39861,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.436937951588377e-08,4.667430315782686e-10
39862,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.898069880065357e-08,4.667430315782686e-10
39863,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.430574574272610e-08,4.667430315782686e-10
39864,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,3.900297955339497e-08,4.667430315782686e-10
39865,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,6.560821582327419e-08,4.667430315782686e-10
39866,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.418298472905269e-08,4.667430315782686e-10
39867,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.095346951078527e-07,4.667430315782686e-10
39868,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.388336087044428e-07,4.667430315782686e-10
